City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
0,Kupang,ID,78.75,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
4,Biloela,AU,76.21,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
5,Tulagi,SB,82.8,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
7,Paita,PE,76.14,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
9,Maragogi,BR,77.92,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
13,Isangel,VU,81.28,overcast clouds,-19.55,169.2667,Tanna Lodge
17,Bayshore Gardens,US,84.24,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
23,Les Cayes,HT,77.99,scattered clouds,18.2,-73.75,Villa Orphee
24,Isangel,VU,81.28,overcast clouds,-19.55,169.2667,Tanna Lodge
32,Sibolga,ID,75.61,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
33,Bokoro,TD,85.23,broken clouds,12.3807,17.0568,
36,Bundaberg,AU,78.22,clear sky,-24.85,152.35,Takalvan Motel
37,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
40,Inirida,CO,75.25,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
47,Ewa Beach,US,85.37,clear sky,21.3156,-158.0072,Base Lodging
49,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
51,Quibdo,CO,86.34,light rain,5.6947,-76.6611,Hotel Angeles
56,Takoradi,GH,80.83,light rain,4.8845,-1.7554,Raybow International Hotel
61,Gorontalo,ID,76.08,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
65,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
66,Sambava,MG,75.2,clear sky,-14.2667,50.1667,Melrose
71,Nieves,PH,77.36,overcast clouds,15.3274,120.9485,Bill's Inn
73,Yaan,NG,89.19,overcast clouds,7.3833,8.5667,
76,Carlagan,PH,80.6,broken clouds,14.975,122.0456,Cabatagan Island
82,Aneho,TG,84.4,overcast clouds,6.2333,1.6,Hotel La Linette
87,Munger,IN,76.03,few clouds,25.3833,86.4667,Raj Palace
91,Hue,VN,75.31,scattered clouds,16.4667,107.6,Saigon Morin Hotel
93,Luziania,BR,78.49,broken clouds,-16.2525,-47.9503,HOTEL SARON
94,Cururupu,BR,75.11,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
98,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
105,Bilma,NE,77.59,clear sky,18.6853,12.9164,Expeditions Ténére voyages
112,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
115,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Kost Pria
116,Jaffna,LK,82.04,scattered clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
118,Thayetmyo,MM,81.3,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
122,Boa Vista,BR,85.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
123,Bilma,NE,77.59,clear sky,18.6853,12.9164,Expeditions Ténére voyages
130,Gumia,IN,76.57,few clouds,23.7833,85.8167,Dj Banti Rmx Hosir
133,Yaring,TH,79.29,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
139,Trincomalee,LK,77.99,broken clouds,8.5711,81.2335,Welcombe Hotel
140,Pedernales,DO,79.56,scattered clouds,18.0384,-71.744,Hotel Costa Marina
144,Sambava,MG,75.2,clear sky,-14.2667,50.1667,Melrose
146,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
151,Acajutla,SV,85.46,clear sky,13.5928,-89.8275,Laureles
155,San Carlos Del Zulia,VE,83.01,overcast clouds,9.0,-71.9135,Hotel El Manantial
