City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kupang,ID,-10.1667,123.5833,78.75,85,45,1.83,scattered clouds
1,Menongue,AO,-14.6585,17.691,64.49,99,100,4.54,moderate rain
2,Ust-Nera,RU,64.5667,143.2,4.12,94,100,8.14,overcast clouds
3,Shirak,AM,40.8404,43.9158,21.52,68,40,2.3,scattered clouds
4,Biloela,AU,-24.4167,150.5,76.21,59,0,0.18,clear sky
5,Tulagi,SB,-9.0996,160.1476,82.8,69,52,3.29,broken clouds
6,Ihosy,MG,-22.4,46.1167,62.28,93,92,7.47,overcast clouds
7,Paita,PE,-5.0892,-81.1144,76.14,73,38,18.01,scattered clouds
8,Vanderhoof,CA,54.0166,-124.0198,50.16,55,50,7.05,scattered clouds
9,Maragogi,BR,-9.0122,-35.2225,77.92,86,99,8.68,light rain
10,Marsa Matruh,EG,31.3525,27.2453,51.17,62,14,9.91,few clouds
11,Kashi,CN,39.4547,75.9797,49.21,57,75,4.47,broken clouds
12,Langarud,IR,37.197,50.1535,41.05,94,100,4.54,overcast clouds
13,Isangel,VU,-19.55,169.2667,81.28,81,100,8.1,overcast clouds
14,Ormara,PK,25.2088,64.6357,74.37,78,0,8.32,clear sky
15,Kungurtug,RU,50.5994,97.5228,-4.68,96,52,2.21,broken clouds
16,Svobodnyy,RU,51.4,128.1333,17.62,85,100,7.52,overcast clouds
17,Bayshore Gardens,US,27.4253,-82.5904,84.24,36,0,8.05,clear sky
18,Yeppoon,AU,-23.1333,150.7333,74.98,68,53,7.7,broken clouds
19,Aguimes,ES,27.9054,-15.4461,61.43,61,20,16.11,few clouds
20,Grahamstown,ZA,-33.3042,26.5328,62.04,95,0,4.65,clear sky
21,Nizhniy Odes,RU,63.6445,54.856,19.56,96,100,6.46,overcast clouds
22,Tambovka,RU,50.0969,128.0489,14.65,89,63,7.83,broken clouds
23,Les Cayes,HT,18.2,-73.75,77.99,74,46,8.05,scattered clouds
24,Isangel,VU,-19.55,169.2667,81.28,81,100,8.1,overcast clouds
25,Ardabil,IR,38.2498,48.2933,22.55,93,100,9.22,overcast clouds
26,Bayanday,RU,53.0661,105.5139,0.37,98,63,2.77,broken clouds
27,Manzil Salim,TN,35.8567,8.4765,47.1,86,100,7.11,overcast clouds
28,Ormara,PK,25.2088,64.6357,74.37,78,0,8.32,clear sky
29,Marsabit,KE,2.3284,37.9899,70.92,50,2,7.87,clear sky
30,Banepa,NP,27.6298,85.5214,59.32,82,20,3.44,few clouds
31,Almora,IN,29.6167,79.6667,53.47,35,0,2.42,clear sky
32,Sibolga,ID,1.7427,98.7792,75.61,85,81,3.67,broken clouds
33,Bokoro,TD,12.3807,17.0568,85.23,14,62,10.07,broken clouds
34,Shalakusha,RU,62.2247,40.2539,32.45,94,69,8.72,broken clouds
35,Middleton,GB,53.55,-2.2,48.97,70,29,4.03,scattered clouds
36,Bundaberg,AU,-24.85,152.35,78.22,75,1,8.05,clear sky
37,Dingle,PH,10.9995,122.6711,78.28,86,76,6.11,broken clouds
38,Usinsk,RU,65.9939,57.5281,19.51,94,100,17.85,overcast clouds
39,Moron,AR,-34.6534,-58.6198,71.96,69,90,5.88,overcast clouds
40,Inirida,CO,3.8653,-67.9239,75.25,94,72,1.86,broken clouds
41,Marana,US,32.4367,-111.2254,71.13,21,0,13.8,clear sky
42,Binucayan,PH,8.25,125.7167,73.72,98,94,0.36,overcast clouds
43,Marsh Harbour,BS,26.5412,-77.0636,72.16,61,3,19.17,clear sky
44,Korem,ET,12.5058,39.5228,57.79,57,73,2.33,broken clouds
45,Tucuma,BR,-0.1833,-50.05,74.26,96,100,6.22,moderate rain
46,Fraserburgh,GB,57.6874,-2.0184,42.12,87,3,11.16,clear sky
47,Ewa Beach,US,21.3156,-158.0072,85.37,56,0,11.5,clear sky
48,Zdvinsk,RU,54.7021,78.661,16.25,93,100,13.85,overcast clouds
49,Saint-Joseph,RE,-21.3667,55.6167,77.38,89,69,10.56,light rain
50,Taraz,KZ,42.9,71.3667,30.61,100,100,0.0,snow
51,Quibdo,CO,5.6947,-76.6611,86.34,70,75,6.91,light rain
52,Senj,HR,44.9894,14.9058,50.67,56,1,9.8,clear sky
53,Sterling,US,39.0062,-77.4286,70.21,33,0,9.22,clear sky
54,Igrim,RU,63.1906,64.4162,-4.92,100,36,3.31,scattered clouds
55,George,ZA,-33.963,22.4617,63.95,100,20,2.3,few clouds
56,Takoradi,GH,4.8845,-1.7554,80.83,85,61,6.55,light rain
57,Yelizovo,RU,53.1873,158.3805,32.14,46,20,20.0,few clouds
58,Aksarayskiy,RU,46.7924,48.0119,34.25,96,99,14.5,light snow
59,Chicama,PE,-7.8447,-79.1469,66.74,76,95,8.9,overcast clouds
60,Dalvik,IS,65.9702,-18.5286,31.93,92,100,2.24,snow
61,Gorontalo,ID,0.5412,123.0595,76.08,94,100,3.04,overcast clouds
62,Maryville,US,35.7565,-83.9705,70.0,30,75,3.44,broken clouds
63,La Sarre,CA,48.8002,-79.1996,23.56,74,46,11.83,scattered clouds
64,Novogornyy,RU,55.63,60.7919,23.83,88,97,12.48,overcast clouds
65,Kloulklubed,PW,7.0419,134.2556,79.3,73,96,16.26,overcast clouds
66,Sambava,MG,-14.2667,50.1667,75.2,88,9,8.63,clear sky
67,Lerwick,GB,60.1545,-1.1494,41.0,83,9,11.79,clear sky
68,Harnoli,PK,32.2792,71.5539,72.82,30,0,4.9,clear sky
69,Alice Town,BS,25.7167,-79.3,74.03,67,16,21.54,few clouds
70,Maceio,BR,-9.6658,-35.7353,74.64,94,100,9.22,moderate rain
71,Nieves,PH,15.3274,120.9485,77.36,81,92,2.75,overcast clouds
72,Luau,AO,-10.7073,22.2247,63.81,93,100,0.27,light rain
73,Yaan,NG,7.3833,8.5667,89.19,33,99,5.86,overcast clouds
