City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fremont,37.5483,-121.9886,61.84,72,20,6.91,US,2022-03-13 17:48:02
1,Georgetown,5.4112,100.3354,80.53,93,20,3.44,MY,2022-03-13 17:48:02
2,Cape Town,-33.9258,18.4232,63.1,62,40,17.27,ZA,2022-03-13 17:46:31
3,Vaini,-21.2,-175.2,73.56,100,20,3.44,TO,2022-03-13 17:48:03
4,Chuy,-33.6971,-53.4616,72.0,50,80,8.75,UY,2022-03-13 17:38:08
5,Ribeira Grande,38.5167,-28.7,59.4,51,40,9.22,PT,2022-03-13 17:48:03
6,Crixas,-14.5489,-49.9692,86.76,60,79,3.96,BR,2022-03-13 17:48:04
7,Bluff,-46.6,168.3333,46.8,89,8,4.38,NZ,2022-03-13 17:48:04
8,Hobart,-42.8794,147.3294,62.46,84,100,10.36,AU,2022-03-13 17:48:05
9,Busselton,-33.65,115.3333,64.92,86,2,6.42,AU,2022-03-13 17:48:05
10,Weinan,34.5036,109.5089,64.15,65,45,1.32,CN,2022-03-13 17:36:00
11,Mahebourg,-20.4081,57.7,78.26,88,40,9.22,MU,2022-03-13 17:38:12
12,Sonoita,31.85,-112.8333,71.53,9,0,5.17,MX,2022-03-13 17:48:06
13,Hanna,51.6334,-111.9018,27.99,94,100,4.85,CA,2022-03-13 17:45:25
14,Kapaa,22.0752,-159.319,73.72,79,75,12.66,US,2022-03-13 17:48:07
15,Takoradi,4.8845,-1.7554,82.65,80,50,11.59,GH,2022-03-13 17:48:07
16,Hermanus,-34.4187,19.2345,60.8,66,100,16.31,ZA,2022-03-13 17:48:08
17,Worland,44.0169,-107.9554,46.89,69,100,3.44,US,2022-03-13 17:48:08
18,Qaanaaq,77.484,-69.3632,-9.09,93,100,7.14,GL,2022-03-13 17:48:09
19,Butaritari,3.0707,172.7902,81.39,74,9,21.32,KI,2022-03-13 17:48:09
20,Bredasdorp,-34.5322,20.0403,61.92,63,100,17.27,ZA,2022-03-13 17:43:59
21,Mar Del Plata,-38.0023,-57.5575,73.42,83,40,14.0,AR,2022-03-13 17:36:33
22,Port Alfred,-33.5906,26.891,68.59,92,100,8.52,ZA,2022-03-13 17:48:10
23,Mataura,-46.1927,168.8643,46.47,98,18,1.95,NZ,2022-03-13 17:48:10
24,Ushuaia,-54.8,-68.3,40.66,87,75,36.82,AR,2022-03-13 17:48:11
25,Chokurdakh,70.6333,147.9167,-11.87,91,100,5.41,RU,2022-03-13 17:48:11
26,Tiksi,71.6872,128.8694,-23.13,100,91,3.18,RU,2022-03-13 17:48:12
27,Rikitea,-23.1203,-134.9692,79.97,71,100,12.84,PF,2022-03-13 17:48:12
28,Albany,42.6001,-73.9662,31.93,42,86,1.01,US,2022-03-13 17:48:13
29,Lompoc,34.6391,-120.4579,66.13,67,0,10.36,US,2022-03-13 17:38:50
30,East London,-33.0153,27.9116,67.14,100,40,2.3,ZA,2022-03-13 17:48:13
31,Esperance,-33.8667,121.9,66.04,90,95,12.55,AU,2022-03-13 17:38:39
32,Cabo San Lucas,22.8909,-109.9124,80.19,62,11,3.0,MX,2022-03-13 17:48:07
33,Dikson,73.5069,80.5464,-5.57,97,100,17.4,RU,2022-03-13 17:38:16
34,Marawi,7.9986,124.2928,69.4,94,100,1.43,PH,2022-03-13 17:48:14
35,Torit,4.4133,32.5678,85.19,38,92,4.09,SS,2022-03-13 17:48:15
36,Mount Gambier,-37.8333,140.7667,55.31,94,86,5.75,AU,2022-03-13 17:48:15
37,Kongolo,-5.3833,27.0,71.33,90,99,1.97,CD,2022-03-13 17:40:57
38,Roma,43.2128,-75.4557,30.38,49,40,11.5,US,2022-03-13 17:48:16
39,Suna,57.8338,50.0588,13.55,95,86,3.04,RU,2022-03-13 17:48:17
40,Norman Wells,65.282,-126.8329,-16.56,76,20,3.44,CA,2022-03-13 17:40:09
41,Atuona,-9.8,-139.0333,78.64,75,99,15.52,PF,2022-03-13 17:48:17
42,Upernavik,72.7868,-56.1549,-7.49,93,89,6.46,GL,2022-03-13 17:39:35
43,Punta Arenas,-53.15,-70.9167,50.11,53,20,37.98,CL,2022-03-13 17:46:06
44,Jamestown,42.097,-79.2353,25.18,52,100,17.27,US,2022-03-13 17:47:39
45,Pevek,69.7008,170.3133,-16.46,100,100,4.72,RU,2022-03-13 17:40:43
46,Longyan,25.1072,117.0225,66.51,81,77,0.67,CN,2022-03-13 17:48:18
47,Vaitape,-16.5167,-151.75,81.32,71,97,9.24,PF,2022-03-13 17:48:19
48,Udachnyy,66.4167,112.4,-27.15,100,72,2.3,RU,2022-03-13 17:48:19
49,Pandan,14.0453,124.1694,77.88,89,95,7.58,PH,2022-03-13 17:39:54
50,Narsaq,60.9167,-46.05,14.22,76,100,10.96,GL,2022-03-13 17:48:20
51,New Norfolk,-42.7826,147.0587,62.1,96,49,1.9,AU,2022-03-13 17:48:20
52,Bonthe,7.5264,-12.505,81.86,76,96,12.17,SL,2022-03-13 17:48:21
53,Iqaluit,63.7506,-68.5145,-16.31,62,20,5.75,CA,2022-03-13 17:48:21
54,Port Hardy,50.6996,-127.4199,44.6,87,100,9.22,CA,2022-03-13 17:38:25
55,Shingu,33.7333,135.9833,60.31,91,100,11.12,JP,2022-03-13 17:42:21
56,Puerto Carreno,6.189,-67.4859,89.58,55,40,9.22,CO,2022-03-13 17:48:22
57,Pizarro,4.9533,-77.366,81.97,76,74,7.16,CO,2022-03-13 17:48:23
58,San Cristobal,7.7669,-72.225,75.38,77,87,2.53,VE,2022-03-13 17:40:45
59,Yellowknife,62.456,-114.3525,-6.59,70,0,21.85,CA,2022-03-13 17:48:23
60,Yabelo,4.8833,38.0833,73.49,26,88,4.65,ET,2022-03-13 17:47:48
61,Ust-Tsilma,65.441,52.1498,15.69,98,83,4.27,RU,2022-03-13 17:48:24
62,Lamu,-2.2717,40.902,80.82,81,82,14.29,KE,2022-03-13 17:48:24
63,Andenes,69.3143,16.1194,39.18,75,0,11.5,NO,2022-03-13 17:43:07
64,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,75,8.05,CA,2022-03-13 17:48:25
65,Khatanga,71.9667,102.5,-5.44,98,100,10.56,RU,2022-03-13 17:44:10
66,Thompson,55.7435,-97.8558,12.36,73,75,9.22,CA,2022-03-13 17:48:25
67,Cidreira,-30.1811,-50.2056,67.46,92,100,13.53,BR,2022-03-13 17:48:26
68,Benoy,8.9833,16.3199,92.12,15,22,4.88,TD,2022-03-13 17:48:26
69,Severo-Kurilsk,50.6789,156.125,28.11,90,98,5.93,RU,2022-03-13 17:48:27
70,Geraldton,-28.7667,114.6,64.81,82,1,0.0,AU,2022-03-13 17:47:32
71,Fairview,40.8126,-73.999,34.83,44,0,18.41,US,2022-03-13 17:48:27
72,Maloy,61.9353,5.1136,49.73,79,100,10.09,NO,2022-03-13 17:48:28
73,Provideniya,64.3833,-173.3,12.9,51,0,12.35,RU,2022-03-13 17:39:14
74,Havoysund,70.9963,24.6622,37.63,82,100,17.25,NO,2022-03-13 17:48:29
75,Ternova,50.1849,36.6757,20.44,92,99,2.17,UA,2022-03-13 17:48:29
76,Xining,36.6167,101.7667,39.61,49,53,0.92,CN,2022-03-13 17:46:51
77,Puerto Ayora,-0.7393,-90.3518,85.96,84,16,3.0,EC,2022-03-13 17:48:30
78,Saldanha,-33.0117,17.9442,61.39,70,68,20.07,ZA,2022-03-13 17:41:38
79,Leningradskiy,69.3833,178.4167,-12.35,96,85,6.62,RU,2022-03-13 17:46:47
80,Monrovia,6.3005,-10.7969,82.11,77,68,12.08,LR,2022-03-13 17:44:41
81,Ugoofaaru,5.6667,73.0,83.05,70,16,4.88,MV,2022-03-13 17:48:31
82,Cherskiy,68.75,161.3,-19.8,100,90,4.94,RU,2022-03-13 17:48:31
